,Genome,time_create,mother,age
0,Foto Up Chemo Up Eat Foto Eat Foto Left Left Eat Eat Chemo Eat Down Left Left Chemo Left Right Left Eat Up Left Down,0,-1,7
1,Foto Up Left Down Right Left Left Chemo Foto Down Chemo Right Down Foto Left Left Eat Right Right Left Left Foto Left Left Chemo,0,-1,10
2,Eat Up Eat Right Foto Down Down Eat Eat Left Right Down Eat Up Up Up Up Down Right Foto Up Down Left Foto Left,0,-1,5
3,Eat Right Foto Chemo Eat Left Up Eat Down Up Up Down Chemo Right Eat Left Left Down Chemo Eat Right Down Chemo Eat Eat,0,-1,1
4,Down Eat Left Chemo Right Up Right Foto Foto Left Up Chemo Left Right Down Up Foto Eat Eat Up Eat Up Down Eat Up,0,-1,1
5,Eat Chemo Left Right Foto Eat Foto Chemo Left Right Eat Right Eat Chemo Up Eat Up Left Foto Right Foto Chemo Up Chemo Left,0,-1,7
6,Foto Chemo Down Chemo Down Up Chemo Chemo Down Right Foto Left Foto Up Foto Right Eat Chemo Chemo Chemo Eat Eat Left Chemo Left,0,-1,8
7,Down Foto Right Right Left Foto Foto Foto Down Down Right Eat Right Down Eat Chemo Up Foto Right Left Right Down Down Down Left,0,-1,5
8,Foto Foto Chemo Eat Chemo Left Foto Down Down Up Down Eat Down Right Up Right Left Foto Right Up Foto Down Down Down Chemo,0,-1,12
9,Chemo Right Left Chemo Down Eat Foto Foto Eat Eat Up Right Chemo Chemo Eat Right Up Left Chemo Right Eat Chemo Foto Up Up,0,-1,11
10,Eat Foto Foto Eat Foto Foto Down Eat Chemo Left Eat Chemo Eat Left Down Chemo Right Eat Right Left Left Up Right Up Left,0,-1,3
11,Right Up Up Eat Foto Left Down Right Eat Up Eat Right Foto Left Right Left Up Left Up Up Foto Down Chemo Up Eat,0,-1,7
12,Eat Down Left Foto Eat Down Foto Up Up Left Chemo Up Left Down Eat Left Right Down Foto Right Left Chemo Up Chemo Up,0,-1,7
13,Eat Left Eat Chemo Up Eat Chemo Left Eat Down Right Right Eat Eat Eat Right Chemo Foto Up Right Left Up Right Chemo Right,0,-1,10
14,Eat Left Foto Chemo Eat Right Down Up Left Down Eat Chemo Down Left Chemo Chemo Down Foto Chemo Foto Right Eat Up Down Right,0,-1,8
15,Left Right Left Foto Right Chemo Down Down Left Up Right Eat Chemo Down Left Chemo Right Left Chemo Eat Down Eat Chemo Left Eat,0,-1,9
16,Right Chemo Up Right Chemo Eat Up Right Down Eat Foto Down Right Left Left Left Down Left Foto Eat Down Foto Right Right Right,0,-1,5
17,Eat Down Foto Down Chemo Up Left Down Eat Eat Eat Eat Down Up Eat Left Eat Foto Left Down Chemo Up Down Up Right,0,-1,5
18,Chemo Left Eat Foto Chemo Right Right Up Foto Foto Left Down Foto Foto Chemo Up Right Right Up Eat Left Down Left Chemo Eat,0,-1,212
19,Chemo Right Right Left Eat Chemo Left Eat Down Up Right Up Down Left Right Right Chemo Left Eat Eat Up Up Eat Foto Eat,0,-1,11
20,Down Down Foto Eat Chemo Chemo Right Right Up Chemo Left Eat Right Chemo Chemo Up Left Down Foto Down Chemo Foto Chemo Down Eat,0,-1,8
21,Down Right Up Left Right Right Up Right Left Left Right Eat Chemo Left Left Down Down Chemo Up Eat Eat Left Foto Foto Right,0,-1,10
22,Right Eat Down Left Down Left Chemo Eat Up Foto Left Chemo Down Left Right Right Eat Down Foto Chemo Up Foto Right Foto Foto,0,-1,9
23,Right Foto Left Eat Foto Foto Eat Chemo Up Right Eat Down Right Eat Right Eat Down Foto Chemo Left Up Right Left Left Down,0,-1,13
24,Eat Foto Up Up Left Right Down Eat Right Foto Up Chemo Chemo Eat Down Right Foto Down Foto Chemo Right Down Down Left Left,0,-1,7
25,Down Up Up Down Up Chemo Right Left Left Eat Left Eat Eat Up Foto Up Right Down Right Left Up Eat Left Right Left,0,-1,9
26,Foto Chemo Down Down Down Eat Right Up Right Up Left Right Foto Eat Chemo Up Right Foto Eat Down Foto Right Down Eat Foto,0,-1,317
27,Foto Right Eat Left Eat Up Left Up Eat Chemo Left Eat Right Foto Up Down Chemo Up Left Left Eat Down Eat Up Eat,0,-1,5
28,Down Eat Right Down Eat Right Right Eat Left Down Right Chemo Foto Right Right Down Down Foto Eat Foto Up Right Chemo Down Down,0,-1,5
29,Foto Chemo Down Right Chemo Foto Chemo Eat Chemo Foto Foto Down Left Down Up Eat Up Foto Left Foto Right Chemo Eat Left Down,0,-1,3
30,Right Eat Eat Foto Up Right Left Up Chemo Left Eat Foto Foto Left Right Right Chemo Chemo Eat Eat Left Left Up Right Foto,0,-1,10
31,Up Down Up Eat Left Left Left Eat Foto Chemo Down Up Chemo Left Right Up Left Right Up Left Chemo Up Foto Left Up,0,-1,10
32,Foto Left Left Right Chemo Eat Down Eat Chemo Chemo Eat Chemo Up Chemo Right Eat Up Foto Chemo Eat Right Right Foto Up Right,0,-1,5
33,Foto Left Chemo Foto Up Up Up Right Up Foto Chemo Down Right Down Eat Down Right Left Left Up Eat Chemo Eat Up Eat,0,-1,5
34,Eat Eat Up Down Foto Right Up Left Right Chemo Foto Chemo Eat Up Eat Right Left Left Eat Eat Eat Foto Down Left Up,0,-1,5
35,Left Left Chemo Chemo Down Left Left Foto Right Eat Down Right Eat Right Left Foto Chemo Right Foto Right Eat Left Down Down Chemo,0,-1,5
36,Chemo Left Eat Foto Right Up Eat Eat Left Foto Foto Down Down Chemo Up Chemo Right Chemo Eat Down Down Left Down Left Foto,0,-1,43
37,Up Right Foto Eat Eat Foto Left Down Down Right Chemo Foto Foto Foto Up Down Up Chemo Down Foto Foto Eat Left Left Up,0,-1,9
38,Chemo Foto Right Eat Left Chemo Foto Chemo Foto Eat Chemo Up Down Down Right Up Left Up Foto Up Eat Down Down Chemo Down,0,-1,88
39,Left Left Eat Left Eat Right Right Left Eat Foto Up Up Right Chemo Chemo Down Chemo Chemo Up Down Left Right Foto Up Right,0,-1,95
40,Down Down Right Left Eat Left Eat Left Down Chemo Left Foto Right Down Right Right Eat Left Right Chemo Left Right Down Right Foto,0,-1,16
41,Left Up Chemo Left Eat Right Chemo Down Foto Right Foto Right Eat Right Left Eat Chemo Right Left Chemo Right Up Foto Eat Foto,0,-1,12
42,Right Foto Foto Left Foto Down Chemo Down Foto Up Eat Chemo Down Chemo Left Left Left Foto Left Right Eat Left Right Down Right,0,-1,12
43,Right Chemo Down Foto Eat Right Chemo Eat Up Foto Foto Up Up Eat Down Eat Right Right Left Chemo Up Foto Left Right Right,0,-1,8
44,Left Left Up Right Left Up Left Right Foto Right Down Eat Foto Chemo Eat Up Left Right Foto Foto Eat Right Right Right Up,0,-1,1
45,Right Foto Chemo Up Foto Chemo Chemo Up Right Left Up Left Up Chemo Down Chemo Down Down Chemo Up Left Up Up Left Up,0,-1,1
46,Foto Down Down Up Right Eat Foto Down Eat Up Left Down Left Foto Foto Foto Up Left Eat Foto Down Eat Down Down Right,0,-1,5
47,Right Left Chemo Left Foto Up Chemo Right Foto Foto Right Right Foto Chemo Left Right Foto Down Down Right Left Up Left Foto Left,0,-1,133
48,Eat Up Down Eat Right Chemo Down Right Down Foto Foto Down Chemo Right Left Up Down Up Foto Foto Down Down Up Left Down,0,-1,10
49,Eat Eat Eat Chemo Foto Down Left Foto Down Eat Left Right Foto Chemo Eat Chemo Right Up Up Foto Eat Up Eat Foto Down,0,-1,23
50,Left Eat Foto Left Eat Left Chemo Foto Down Eat Left Chemo Down Left Up Foto Down Eat Left Chemo Chemo Chemo Left Eat Foto,0,-1,10
51,Chemo Right Eat Right Up Foto Down Right Right Right Chemo Down Right Eat Up Chemo Eat Left Left Down Right Eat Left Eat Right,0,-1,11
52,Eat Right Down Chemo Up Foto Left Right Down Up Eat Foto Eat Eat Foto Left Left Up Eat Eat Down Eat Foto Down Right,0,-1,270
